# StartTime = 02/03/2026 11:20:39.6323 AM
Time (sec), Vehicle speed (MPH), Mass air flow rate (lb/min), Latitude (deg), Longitude (deg), Trip Fuel Economy (MPG), Total Fuel Economy (MPG), Fuel Rate (gal/hr), Total CO2 (lbs), CO2 flow (lb/min), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Fuel system 1 status, Fuel system 2 status, Calculated load value (%), Engine coolant temperature (°F), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Engine RPM (RPM), Intake manifold absolute pressure (inHg), Mass air flow rate (lb/min), Intake air temperature (°F), O2 voltage (Bank 1  Sensor 2) (V), Short term fuel trim (Bank 1  Sensor 2) (%)
226.167,42.253242,4.121145,42.091457,-73.939606,14.14728,29.89643,2.4883058,777.2964,0.81267387,16.481293,1.1889744,2,0,74.117645,132.8,-2.34375,8.59375,2136,22.147575,3.656659,5,0.655,-2.34375
228.746,42.87461,4.144959,42.091805,-73.93958,14.177752,29.895676,2.7369606,777.337,0.8938839,15.438015,1.2693235,2,0,74.5098,132.8,-1.5625,8.59375,2165,22.147575,3.7063046,5,0.5,-2.34375
231.177,44.117355,4.262706,42.09216,-73.939606,14.206274,29.895004,2.7527761,777.3734,0.89904916,15.575045,1.258156,2,0,74.117645,132.8,-3.125,8.59375,2170,22.442877,3.7643957,5,0.79,-3.125
233.742,44.738728,4.434696,42.092697,-73.939644,14.233802,29.894314,2.830975,777.4109,0.9245887,15.583801,1.2574489,2,0,74.90196,132.8,-2.34375,8.59375,2186,22.442877,3.7921517,5,0.675,-2.34375
236.167,44.117355,2.550744,42.093227,-73.939705,14.253996,29.89358,2.9451983,777.44977,0.9618936,15.190395,1.2900147,2,0,52.54902,132.8,2.34375,8.59375,1743,20.67107,2.7849498,5,0.81,-6.25
238.733,42.87461,3.582684,42.093567,-73.9398,14.407941,29.893456,1.6940162,777.4746,0.55326104,26.043055,0.75244,2,0,69.411766,132.8,-2.34375,8.59375,1912,16.832157,2.4876237,5,0.085,3.90625
241.162,42.253242,2.811375,42.0939,-73.939896,14.466341,29.892975,2.3793547,777.5061,0.77709067,18.019428,1.0874836,2,0,63.52941,132.8,-2.34375,8.59375,1906,18.013361,2.6538396,5,0.52,2.34375
243.733,42.253242,1.987146,42.09441,-73.93995,14.569502,29.892744,1.8671081,777.5308,0.60979235,22.630314,0.8659109,2,0,64.31373,132.8,-3.125,8.59375,1931,19.489866,2.9090297,6.8,0.8,-1.5625
246.159,41.63187,4.121145,42.09491,-73.93983,14.723933,29.892792,1.3197159,777.5483,0.43101558,32.016922,0.6120462,2,0,74.90196,132.8,-1.5625,8.59375,2160,22.738176,3.7817023,6.8,0.11,-1.5625
248.729,41.63187,4.073517,42.09523,-73.939705,14.733495,29.89203,2.7369606,777.58856,0.8938839,15.210985,1.2882686,2,0,74.5098,132.8,-2.34375,8.59375,2118,22.442877,3.660011,6.8,0.73,-1.5625
